16
29 106
-50 -553
13 320
11 -737
45 859
38 71
18 -492
-49 -773
-25 -571
17 -694
13 223
-21 -461
-15 -337
-1 331
49 328
-28 183
2 768 437
1 4680 7
2 3631 14
1 5113 6
1 9801 12
2 -494 -68
1 4892 15
1 -856 5
2 3008 787
2 3493 -38
2 4288 25
1 1343 9
2 -285 634
1 1242 15
1 4565 5
2 1263 641
1 719 3
1 8771 14
1 5400 9
1 7103 12
2 156 -41
1 8824 9
3
2 3896 973
1 1921 13
2 -771 -80
1 5571 5
1 9167 5
2 2087 403
1 9703 11
1 -658 9
1 3676 8
1 1229 2
2 561 358
2 4058 720
1 8500 10
2 2003 981
1 7187 12
2 4813 630
1 157 14
1 2336 3
1 9875 3
2 4837 -12
3
1 -479 1
2 4642 395
1 8809 3
2 4695 -1
3
